tier,priority,product,niche,archetype,status,price,etsy_compliant,daily_buyers_signal,beachhead_rate,median_shop_sales,evidence,file,next_step,scam_risk
1,SELL NOW,"2026 Hyperlinked Digital Planner (6-month, hyperlinked PDF)",digital planner,planner-digital,"READY - verified 222 pages, 1114 links, 8 bookmarks",$6-12,"YES - original generation, Creativity Standards compliant (own design)",High (but competitive),10% (general planner) / 15% (ADHD variant),"20,150 (general) vs 2,400 (ADHD)","Built from scratch via generate_planner.py; comparable listings: 35/day at $0.99 (phenixdigital 104k sales), 38/day at $0.96 (BrighterPlans 93k) — but planner niche is ENTRNCHED (median shop 20,150 sales, only 10% beachhead)",products/2026-hyperlinked-digital-planner/planner_2026_6month_hyperlinked.pdf,"Add cover/preview images, generate 12-month + Mon/Sun variants: python generate_planner.py 12 2027",No
2,NEAR-READY (1-2 days),"Ultimate Budget Tracker (Excel - 6 sheets, 3 charts, 80 formulas)",spreadsheet,spreadsheet-tracker,NEAR-READY - hollow Income/Expenses tabs; Dashboard logic complete,$4-8,YES - original formulas,Medium-High (4 median),11%,"6,450","Spreadsheet niche: 11% beachhead, median shop 6,450, median $6.38, 39/82 listings show daily buyers. Gap: Income sheet A1:D7 has 0 formulas. Build deep fixes this.",products/ultimate-budget-tracker/ + free-obtained/05-spreadsheet-trackers/,"Add real formulas to Income/Expenses, 12 monthly tabs, Google Sheets version. Sheets-native trackers sold well in beachhead data.",No
2,NEAR-READY (1-2 days),"Digital Product Ideas Guide (data-driven, from 137 scraped listings)",idea-list-guide,idea-list-guide,"NEAR-READY - unlike static ""100k ideas"" PDFs, built from real sales data",$2-5,YES - original analysis,-,N/A,N/A,3 idea-list listings on Etsy are $0.55-1.60 static typed lists. Ours ranks 71 hot products by actual daily buyers. Beat them on substance.,products/digital-product-ideas-guide/ + free-obtained/10-digital-product-ideas/,"Add charts + niche breakdown table, add etsy_underdogs.csv top picks as appendix",No
2,STRONGEST CONCEPT (needs proof run),"Faceless Video Pipeline (runnable ffmpeg + TTS pipeline, not a PDF)",ai-content / faceless youtube,ai-content,"STRONGEST CONCEPT - 5 scripts + batch generator, needs end-to-end clean-machine test",$15-35,"YES - original code (must disclose AI use, do not promise monetization, avoid templated mass-upload advice per YouTube inauthentic content policy)",Category edge: $0 cost vs $154/mo competitor stack,Category: ai guides - low daily signals but high price ($15-35),Varied,"AI-guide teardown: 98% of 65 AI money guides are PDFs. Only 1/54 ships software. This is a different product class. Competitors push $40-154/mo subscriptions; this runs $0 via Kokoro-82M, ffmpeg, Pexels API.",products/faceless-video-pipeline/ + free-obtained/09-ai-video-pipeline/,"Prove it runs end-to-end on clean machine, package with installer/README, read ai-guide-teardown/method-obsolescence.md",No
3,BUILD NEXT #1 - Best new-seller niche,Bold & Easy Coloring Book (ORIGINAL line art - NOT algorithmic tiling),coloring,coloring-kids / wallart-bundle,"REBUILD REQUIRED - current Free_Coloring_Pages_Bundle.pdf is NOT LISTABLE (50 pages of identical hexagon tiling, rejected)",$2-4 (bundle) / $3-5 (single book),YES if original line art (NO if PLR repackaging),11-13/day on top beachheads,20% (highest),"1,450","BEST beachhead in entire dataset: 20% beachhead rate, median shop ONLY 1,450 sales (14x less entrenched than planners at 20,150). 11 beachheads. Median $2.05, median 3 buyers/day. Example beachhead: 11/day from 916-sales shop at $2.14. Top beachheads are PLR/MRR repackages - now RESTRICTED by Etsy 2025-06-10 Creativity Standards (must be original design). Original line art wins here as field thins.",products/bold-easy-coloring-book/ [REBUILD] - see free-obtained/04-coloring-pages/generate_coloring.py as starting point,"Rebuild with real line art: mandalas, kawaii, cozy, botanical - generate or commission 30-40 unique pages, not tiling. 8.5x11, 300 DPI, PDF + PNG.",No - but must not resell PLR as-is
3,"BUILD NEXT #2 - Highest daily buyers, small shop","ADHD Digital Planner / ADHD-Focused Product Line (planner, habit tracker, focus tracker)",planner-adhd / ADHD qualifier,planner-digital + spreadsheet-tracker,NOT BUILT - strongest single keyword signal in dataset,$4-12,YES - original design,5-9/day from tiny shops,15%,"2,400","ADHD qualifier recurs across niches and consistently attaches to small shops with live sales: ""ADHD Digital Planner"" at $3.95 taking 5/day (reported as 9 in analysis) from 62 lifetime sales (underdog_score 20.0). Niche stats: 15% beachhead, median shop 2,400 (vs 20,150 general). 5/13 listings show daily buyers. This is the ""shops without huge history"" pattern you asked about.",NOT YET BUILT - extend products/2026-hyperlinked-digital-planner/ with ADHD variant (focus/habit/reward tracker pages),"Build ADHD variant: add focus tracker, habit tracker, reward tracker, time-blocking pages to planner generator. Also ADHD budget/routine spreadsheet variant. Keyword: ""ADHD"" in title/tags.",No
3,BUILD NEXT #3,ADHD / Cozy Coloring + Spreadsheet Combo Bundle,coloring + spreadsheet (cross-niche ADHD bundle),coloring-kids + spreadsheet-tracker,NOT BUILT - combo of two best beachhead signals,$5-10 bundle,YES - original,Synergy play,20% + 15%,"1,450 / 2,400","Combine #1 (coloring 20% beachhead) + #2 (ADHD qualifier) - untested but no incumbent owns ""ADHD cozy coloring + focus tracker bundle"". Beachhead data shows both niches independently favor small shops.",NOT YET BUILT,Package rebuilt coloring book + ADHD planner sheets as bundle listing,No
3,BUILD NEXT #4 - Curated original wall art (NOT rectangles),"Public Domain Wall Art - CURATED sets (Met CC0, properly curated by palette/theme)",wall-art,wallart-single / wallart-bundle,"MIXED - 60 genuine Met CC0 images are GOOD (need curation); 72 ""original"" wall-art-png are REJECTED (coloured rectangles)",$3-10 sets / $5-15 bundles,YES if genuinely curated + original arrangement (NO if bulk dump of third-party scans as-is per 2025-06-10 standards),"3 median, up to 13 for bundles",14%,"6,800","Wall art: 14% beachhead, median shop 6,800, median $7.80, 28/79 show daily buyers, median 3/day. Large but viable. Met Open Access images ARE the right source, but need curation, upscaling, correct aspect ratios (4:3, 3:4, 1:1), 300 DPI, themed sets (Japandi, Cottagecore etc.) - not dumping 60 files as ""150k bundle"". Top price $10,142 is outlier/custom.",products/public-domain-wall-art/ + free-obtained/03-wall-art/met-wall-art/ (60 images) + Wall_Art_Collection.pdf,"Curate 60 Mets into 6 themed sets of 10 (botanical, vintage, abstract etc.), upscale, crop to print ratios, write original descriptions. Discard 72 rectangle PNGs.",No - but bulk repackaging now risky
3,CONSIDER - High-ticket but needs proof,"Notion Template Pack (original, not Notion gallery links)",notion-template,notion-template,NOT BUILT as original product - current free-obtained/06 is just link curation (24 listings matched to free Notion gallery),$5-15,YES if original template,Not measured in beachhead sweep,N/A (not in beachhead scoring),N/A,"24 notion-template listings at $15.28 avg, but Notion gallery is free - so selling links fails. Must build ORIGINAL templates (Second Brain, Life OS, ADHD OS). Demand exists but differentiation is build, not curation.",free-obtained/06-notion-templates/FREE_ALTERNATIVES.md (currently just links),"Build 1 flagship original Notion template (Second Brain or ADHD OS) with databases, relations, dashboards. Export as duplicatable template link.",No
4,DO NOT SELL,Canva Pro Lifetime Access / Account Resale (3 listings),canva account / pro access,account-resale,SCAM - DO NOT REPLICATE,$0.98-2.99 (scam price),"NO - violates Canva ToS + Etsy policy, risk shop suspension",Fake (scam demand),Fake signal,52-609,"Top 2 underdogs by score (48.0 and 26.3) are Canva lifetime scams - e.g. IronedGhost $0.98 with 12/day from 52 sales, TheMinhalPrintables $1.00 with 16/day from 609 sales. Canva sells NO lifetime plan. These are shared/resold credentials. Breaches Canva ToS; buyers risk suspension + design loss. Documented in listings_free_alternatives.csv verdict: SCAM / TOS-VIOLATING.",Documented in free-alternatives-research/listings_free_alternatives.csv + free-obtained/README (warning),DO NOT BUILD. Document as warning in shop FAQ if needed. Legit route: Canva Free / Education / Nonprofits / 30-day trial.,CRITICAL - account resale
